object_category,object_type,price_display,price_display_type,price_unit,number_of_rooms,floor,is_furnished,is_temporary,is_selling_furniture,zipcode,city,latitude,longitude,year_built,year_renovated,moving_date_type,reserved,livingspace
0,2,4339.0,1,1,2.0,0.0,0.0,0.0,0.0,8003,2054,47.3707232,8.5146785,38.94638748274269,38.94638748274269,0,0.0,49.0
0,2,1962.0,1,1,0.0,0.0,0.0,0.0,0.0,8003,2054,47.3707232,8.5146785,38.94638748274269,38.94638748274269,0,0.0,14.0
0,2,2377.0,1,1,0.0,0.0,0.0,0.0,0.0,8003,2054,47.3707232,8.5146785,38.94638748274269,38.94638748274269,0,0.0,21.0
0,2,2066.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3732697,8.5262025,38.94638748274269,38.94638748274269,0,0.0,14.0
0,2,2585.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3732697,8.5262025,38.94638748274269,38.94638748274269,0,0.0,19.0
0,2,3000.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3732697,8.5262025,38.94638748274269,38.94638748274269,0,0.0,25.0
0,2,4246.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3732697,8.5262025,38.94638748274269,38.94638748274269,0,0.0,42.0
0,2,4754.0,1,1,2.0,0.0,0.0,0.0,0.0,8004,2054,47.3732697,8.5262025,38.94638748274269,38.94638748274269,0,0.0,54.0
0,2,4246.0,1,1,2.0,0.0,0.0,0.0,0.0,8004,2054,47.3730039,8.5260488,38.94638748274269,38.94638748274269,0,0.0,46.0
0,2,4038.0,1,1,2.0,0.0,0.0,0.0,0.0,8004,2054,47.3730039,8.5260488,38.94638748274269,38.94638748274269,0,0.0,37.0
0,2,2066.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3730039,8.5260488,38.94638748274269,38.94638748274269,0,0.0,18.0
0,2,2585.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3730039,8.5260488,38.94638748274269,38.94638748274269,0,0.0,22.0
0,2,2585.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3719465,8.524594,38.94638748274269,38.94638748274269,0,0.0,28.0
0,2,2896.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3719465,8.524594,38.94638748274269,38.94638748274269,0,0.0,33.0
0,2,4235.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3719465,8.524594,38.94638748274269,38.94638748274269,0,0.0,70.0
0,2,2793.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3769355,8.5326062,38.94638748274269,38.94638748274269,0,0.0,24.0
0,2,2170.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3769355,8.5326062,38.94638748274269,38.94638748274269,0,0.0,15.0
0,2,2792.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3769355,8.5326062,38.94638748274269,38.94638748274269,0,0.0,21.0
0,2,3830.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3769355,8.5326062,38.94638748274269,38.94638748274269,0,0.0,30.0
0,2,4453.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3769355,8.5326062,38.94638748274269,38.94638748274269,0,0.0,41.0
0,2,4246.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3769355,8.5326062,38.94638748274269,38.94638748274269,0,0.0,43.0
0,2,4246.0,1,1,0.0,0.0,0.0,0.0,0.0,8004,2054,47.3769355,8.5326062,38.94638748274269,38.94638748274269,0,0.0,36.0
0,2,3208.0,1,1,0.0,0.0,0.0,0.0,0.0,8005,2054,47.3874151,8.5196931,38.94638748274269,38.94638748274269,0,0.0,80.0
